pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G29550-AT1G29590,4-5,4-5,+IR,8,55,4,79,13,116,0,20,0,23,0,45,IR,AT1G29550,AT1G29590,AT1G29550-AT1G295904-5+IR,250,25,88,0,one,0.1
AT1G34040-AT1G34060,3-4,3-4,+IR,0,0,0,1,0,1,3,16,4,45,2,29,IR,AT1G34040,AT1G34060,AT1G34040-AT1G340603-4+IR,2,0,90,9,one,0.1
AT1G11340-AT1G11410,5-6,4-5,-ALTA,0,11,0,13,0,26,24,198,8,193,38,311,ALTA,AT1G11340,AT1G11410,AT1G11340-AT1G114105-6-ALTA,50,0,702,70,one,0.0997150997150997
AT1G51760-AT1G51780,1-2,1-2,+IR,12,256,71,501,34,420,0,7,0,1,0,1,IR,AT1G51760,AT1G51780,AT1G51760-AT1G517801-2+IR,1177,117,9,0,one,0.0994052676295667
AT3G05160-AT3G05165,1-2,2-3,+IR,5,148,20,122,21,194,0,338,0,284,0,521,IR,AT3G05160,AT3G05165,AT3G05160-AT3G051651-2+IR,464,46,1143,0,one,0.0991379310344828
AT1G75880-AT1G75890,2-3,2-3,+IR,3,38,1,28,9,66,0,3,0,3,0,3,IR,AT1G75880,AT1G75890,AT1G75880-AT1G758902-3+IR,132,13,9,0,one,0.0984848484848485
AT4G21903-AT4G21910,1-2,1-2,+IR,0,0,0,2,0,1,8,71,7,65,10,119,IR,AT4G21903,AT4G21910,AT4G21903-AT4G219101-2+IR,3,0,255,25,one,0.0980392156862745
AT5G12950-AT5G12960,11-12,11-12,+IR,53,450,45,664,91,821,0,35,0,58,0,82,IR,AT5G12950,AT5G12960,AT5G12950-AT5G1296011-12+IR,1935,189,175,0,one,0.0976744186046512
AT3G57460-AT3G57470,4-5,12-13,-ALTA,0,12,0,5,0,12,21,160,14,140,13,200,ALTA,AT3G57460,AT3G57470,AT3G57460-AT3G574704-5-ALTA,29,0,500,48,one,0.096
AT5G41360-AT5G41370,9-10,9-10,+IR,0,45,0,57,0,98,15,143,9,119,17,178,IR,AT5G41360,AT5G41370,AT5G41360-AT5G413709-10+IR,200,0,440,41,one,0.0931818181818182
