pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT4G19410-AT5G45280,7-8,7-8,-ALTA,6,603,5,631,8,1142,0,340,0,369,0,629,ALTA,AT4G19410,AT5G45280,AT4G19410-AT5G452807-8-ALTA,2376,19,1338,0,one,0.007996632996633
AT4G26910-AT5G55070,11-12,12-13,+IR,3,278,2,179,1,295,0,780,0,341,0,1137,IR,AT4G26910,AT5G55070,AT4G26910-AT5G5507011-12+IR,752,6,2258,0,one,0.00797872340425532
AT5G09770-AT5G64650,2-3,2-3,+IR,4,264,1,261,4,603,0,145,0,138,0,351,IR,AT5G09770,AT5G64650,AT5G09770-AT5G646502-3+IR,1128,9,634,0,one,0.00797872340425532
AT1G10940-AT1G60940,6-7,5-6,-ALTA,3,669,4,638,12,1076,0,638,0,600,0,1045,ALTA,AT1G10940,AT1G60940,AT1G10940-AT1G609406-7-ALTA,2383,19,2283,0,one,0.00797314309693663
AT2G28540-AT3G45630,5-6,5-6,-ALTD,0,106,0,94,0,168,2,142,1,145,1,215,ALTD,AT2G28540,AT3G45630,AT2G28540-AT3G456305-6-ALTD,368,0,502,4,one,0.00796812749003984
AT2G42300-AT3G57800,2-3,2-3,+IR,0,238,0,252,0,481,3,307,2,310,5,640,IR,AT2G42300,AT3G57800,AT2G42300-AT3G578002-3+IR,971,0,1257,10,one,0.00795544948289578
AT1G02890-AT4G02480,11-12,11-12,-ALTA,0,182,0,193,0,266,6,416,3,387,2,586,ALTA,AT1G02890,AT4G02480,AT1G02890-AT4G0248011-12-ALTA,641,0,1389,11,one,0.00791936645068395
AT4G20430-AT5G44530,3-4,3-4,+IR,0,57,0,31,0,60,2,325,1,223,5,463,IR,AT4G20430,AT5G44530,AT4G20430-AT5G445303-4+IR,148,0,1011,8,one,0.00791295746785361
AT1G04710-AT2G33150,7-8,7-8,+IR,0,169,0,128,0,309,8,593,8,914,4,1025,IR,AT1G04710,AT2G33150,AT1G04710-AT2G331507-8+IR,606,0,2532,20,one,0.00789889415481832
AT2G42130-AT3G58010,4-5,4-5,+IR,0,868,0,755,0,1423,3,467,3,422,7,759,IR,AT2G42130,AT3G58010,AT2G42130-AT3G580104-5+IR,3046,0,1648,13,one,0.00788834951456311
AT1G53850-AT3G14290,7-8,7-8,+IR,6,384,1,382,4,632,0,497,0,407,0,692,IR,AT1G53850,AT3G14290,AT1G53850-AT3G142907-8+IR,1398,11,1596,0,one,0.00786838340486409
