pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT4G25515-AT4G25520,7-8,8-9,+IR,1,15,2,19,1,25,1,93,3,132,5,173,IR,AT4G25515,AT4G25520,AT4G25515-AT4G255207-8+IR,59,4,398,9,both,0.0451835448428584
AT1G08890-AT1G08900,17-18,17-18,+IR,3,32,7,47,9,48,39,174,56,212,33,275,IR,AT1G08890,AT1G08900,AT1G08890-AT1G0890017-18+IR,127,19,661,128,both,0.0440396917102457
AT5G07690-AT5G07700,2-3,2-3,+IR,35,370,9,243,25,553,2,19,4,45,7,67,IR,AT5G07690,AT5G07700,AT5G07690-AT5G077002-3+IR,1166,69,131,13,both,0.0400599688371545
AT1G23950-AT1G23970,3-4,3-4,+IR,9,127,9,105,13,186,1,49,1,73,6,103,IR,AT1G23950,AT1G23970,AT1G23950-AT1G239703-4+IR,418,31,225,8,both,0.0386071238702818
AT5G52750-AT5G52760,2-3,2-3,+IR,48,153,6,199,29,308,7,46,3,77,9,87,IR,AT5G52750,AT5G52760,AT5G52750-AT5G527602-3+IR,660,83,210,19,both,0.0352813852813853
AT1G28570-AT1G28580,2-3,2-3,+IR,15,75,5,64,14,118,29,277,20,182,32,362,IR,AT1G28570,AT1G28580,AT1G28570-AT1G285802-3+IR,257,34,821,81,both,0.0336355493206065
AT4G08480-AT4G08500,2-3,2-3,+IR,1,84,1,89,7,112,11,109,2,127,14,186,IR,AT4G08480,AT4G08500,AT4G08480-AT4G085002-3+IR,285,9,422,27,both,0.0324020952856074
AT1G27170-AT1G27180,4-5,5-6,+IR,7,27,2,24,7,65,7,27,2,23,7,45,IR,AT1G27170,AT1G27180,AT1G27170-AT1G271804-5+IR,116,16,95,16,both,0.0304900181488203
AT4G12770-AT4G12780,5-6,5-6,+IR,9,119,8,100,32,181,25,159,9,126,14,230,IR,AT4G12770,AT4G12780,AT4G12770-AT4G127805-6+IR,400,49,515,48,both,0.0292961165048544
AT5G23490-AT5G23510,16-17,6-7,+IR,4,62,4,60,7,80,5,135,11,102,23,141,IR,AT5G23490,AT5G23510,AT5G23490-AT5G2351016-17+IR,202,15,378,39,both,0.0289171774320289
AT4G16940-AT4G16960,1-2,1-2,+IR,5,8,7,11,2,16,6,8,7,11,2,16,IR,AT4G16940,AT4G16960,AT4G16940-AT4G169601-2+IR,35,14,35,15,both,0.0285714285714285
AT3G14130-AT3G14150,4-5,4-5,+IR,3,20,6,41,12,73,10,118,23,128,21,175,IR,AT3G14130,AT3G14150,AT3G14130-AT3G141504-5+IR,134,21,421,54,both,0.028450384656291
AT3G08570-AT3G08660,3-4,3-4,+IR,1,4,1,7,2,10,1,26,5,18,4,17,IR,AT3G08570,AT3G08660,AT3G08570-AT3G086603-4+IR,21,4,61,10,both,0.0265417642466823
AT4G25515-AT4G25520,8-9,9-10,+IR,3,23,3,36,8,34,26,104,19,186,44,215,IR,AT4G25515,AT4G25520,AT4G25515-AT4G255208-9+IR,93,14,505,89,both,0.0256999893537741
AT5G65050-AT5G65060,2-3,2-3,+IR,17,283,17,287,24,404,3,72,4,68,2,117,IR,AT5G65050,AT5G65060,AT5G65050-AT5G650602-3+IR,974,58,257,9,both,0.0245287993672049
AT1G07470-AT1G07480,5-6,5-6,+IR,5,114,10,152,11,223,8,134,14,142,15,206,IR,AT1G07470,AT1G07480,AT1G07470-AT1G074805-6+IR,489,26,482,37,both,0.0235937513258492
AT2G32190-AT2G32210,1-2,1-2,+IR,10,64,6,119,16,128,7,75,5,148,16,129,IR,AT2G32190,AT2G32210,AT2G32190-AT2G322101-2+IR,311,32,352,28,both,0.0233484361297866
AT3G24870-AT3G24880,9-10,8-9,-ALTA,10,53,3,60,5,81,9,59,3,63,3,93,ALTA,AT3G24870,AT3G24880,AT3G24870-AT3G248809-10-ALTA,194,18,215,15,both,0.0230160632941741
AT3G03030-AT3G03040,2-3,3-4,+IR,1,20,2,28,1,38,1,135,2,163,9,198,IR,AT3G03030,AT3G03040,AT3G03030-AT3G030402-3+IR,86,4,496,12,both,0.02231807951988
AT1G28570-AT1G28580,3-4,3-4,+IR,1,82,3,45,3,67,4,192,18,129,11,251,IR,AT1G28570,AT1G28580,AT1G28570-AT1G285803-4+IR,194,7,572,33,both,0.0216098334655036
AT3G48050-AT3G48060,1-2,2-3,+ALTA,3,82,11,70,27,139,6,62,11,61,27,148,ALTA,AT3G48050,AT3G48060,AT3G48050-AT3G480601-2+ALTA,291,41,271,44,both,0.0214681528258581
AT1G56510-AT1G56520,1-2,1-2,+IR,29,163,37,170,55,187,24,67,14,92,32,117,IR,AT1G56510,AT1G56520,AT1G56510-AT1G565201-2+IR,520,121,276,70,both,0.0209308807134894
AT3G14130-AT3G14150,10-11,10-11,+IR,2,46,3,46,4,67,1,145,8,160,12,279,IR,AT3G14130,AT3G14150,AT3G14130-AT3G1415010-11+IR,159,9,584,21,both,0.0206448694753166
AT1G65790-AT1G65800,5-6,5-6,+IR,5,140,2,106,17,194,13,410,6,370,25,487,IR,AT1G65790,AT1G65800,AT1G65790-AT1G658005-6+IR,440,24,1267,44,both,0.019817751309464
AT5G22770-AT5G22780,18-19,18-19,+ALTA,11,133,6,157,13,247,7,179,6,131,8,251,ALTA,AT5G22770,AT5G22780,AT5G22770-AT5G2278018-19+ALTA,537,30,561,21,both,0.0184327667074956
AT5G46510-AT5G46520,4-5,4-5,+IR,17,60,24,57,16,65,17,54,22,62,15,67,IR,AT5G46510,AT5G46520,AT5G46510-AT5G465204-5+IR,182,57,183,54,both,0.0181048459736984
AT5G47480-AT5G47490,5-6,6-7,+IR,8,128,10,126,9,229,2,35,5,28,2,59,IR,AT5G47480,AT5G47490,AT5G47480-AT5G474905-6+IR,483,27,122,9,both,0.0178698706852663
