pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G52360-AT3G15980,11-12,11-12,+IR,12,252,4,244,17,473,6,156,3,163,6,328,IR,AT1G52360,AT3G15980,AT1G52360-AT3G1598011-12+IR,969,33,647,15,both,0.0108718017427422
AT1G33490-AT4G10140,3-4,3-4,+IR,13,286,15,250,27,468,6,86,3,102,12,132,IR,AT1G33490,AT4G10140,AT1G33490-AT4G101403-4+IR,1004,55,320,21,both,0.0108441235059761
AT4G04210-AT4G22150,2-3,2-3,+IR,16,734,3,522,22,1126,1,170,2,182,1,274,IR,AT4G04210,AT4G22150,AT4G04210-AT4G221502-3+IR,2382,41,626,4,both,0.0108226501744983
AT5G08390-AT5G23430,16-17,16-17,+IR,10,98,4,97,14,156,4,21,1,29,1,37,IR,AT5G08390,AT5G23430,AT5G08390-AT5G2343016-17+IR,351,28,87,6,both,0.0108065625307005
AT3G05030-AT5G27150,4-5,4-5,+IR,1,272,3,185,3,285,12,386,6,409,13,755,IR,AT3G05030,AT5G27150,AT3G05030-AT5G271504-5+IR,742,7,1550,31,both,0.0105660377358491
AT1G21080-AT1G76700,6-7,6-7,+IR,5,332,2,329,12,598,3,74,2,132,4,147,IR,AT1G21080,AT1G76700,AT1G21080-AT1G767006-7+IR,1259,19,353,9,both,0.0104044083730286
AT1G50140-AT3G19740,23-24,23-24,+IR,9,184,5,193,9,327,2,176,3,100,6,216,IR,AT1G50140,AT3G19740,AT1G50140-AT3G1974023-24+IR,704,23,492,11,both,0.0103127309682188
AT3G02250-AT5G15740,1-2,1-2,+IR,2,160,3,164,5,332,1,144,3,64,6,184,IR,AT3G02250,AT5G15740,AT3G02250-AT5G157401-2+IR,656,10,392,10,both,0.0102663016426083
AT4G25870-AT5G57270,8-9,9-10,+IR,4,61,6,74,7,121,20,140,6,114,12,242,IR,AT4G25870,AT5G57270,AT4G25870-AT5G572708-9+IR,256,17,496,38,both,0.0102066532258065
AT1G15020-AT2G01270,9-10,9-10,+IR,4,122,3,92,6,181,11,272,2,242,9,453,IR,AT1G15020,AT2G01270,AT1G15020-AT2G012709-10+IR,395,13,967,22,both,0.0101606168104408
AT4G19660-AT5G45110,2-3,2-3,+IR,4,183,1,170,12,259,1,77,2,181,4,137,IR,AT4G19660,AT5G45110,AT4G19660-AT5G451102-3+IR,612,17,395,7,both,0.010056258790436
AT1G53290-AT3G14960,2-3,2-3,-ALTD,3,135,3,121,7,185,3,70,6,74,1,109,ALTD,AT1G53290,AT3G14960,AT1G53290-AT3G149602-3-ALTD,441,13,253,10,both,0.0100472336497181
AT3G10500-AT5G04410,2-3,2-3,+IR,5,28,5,45,2,57,18,195,22,230,43,386,IR,AT3G10500,AT5G04410,AT3G10500-AT5G044102-3+IR,130,12,811,83,both,0.010035094375415
AT5G09220-AT5G63850,2-3,2-3,+IR,9,269,4,297,8,307,6,303,6,284,3,482,IR,AT5G09220,AT5G63850,AT5G09220-AT5G638502-3+IR,873,21,1069,15,both,0.010023177392238
AT4G19410-AT5G45280,12-13,12-13,+IR,14,442,1,328,4,561,7,333,5,311,15,468,IR,AT4G19410,AT5G45280,AT4G19410-AT5G4528012-13+IR,1331,19,1112,27,both,0.0100055943224384
AT2G19160-AT4G30060,6-7,6-7,+IR,3,110,5,71,5,126,2,94,1,67,5,86,IR,AT2G19160,AT4G30060,AT2G19160-AT4G300606-7+IR,307,13,247,8,both,0.00995661290535283
AT1G31120-AT2G35060,4-5,5-6,+IR,1,44,2,34,2,55,16,234,5,219,17,353,IR,AT1G31120,AT2G35060,AT1G31120-AT2G350604-5+IR,133,5,806,38,both,0.00955241702270565
AT1G08040-AT2G28310,10-11,10-11,+IR,5,137,4,213,3,326,2,308,1,278,6,511,IR,AT1G08040,AT2G28310,AT1G08040-AT2G2831010-11+IR,676,12,1097,9,both,0.00954728603561084
AT3G44850-AT5G22840,1-2,1-2,+IR,5,79,3,44,11,96,7,45,3,41,8,101,IR,AT3G44850,AT5G22840,AT3G44850-AT5G228401-2+IR,219,19,187,18,both,0.0094986936243987
AT1G03610-AT4G03420,1-2,1-2,+IR,13,328,8,706,25,587,18,197,5,236,11,466,IR,AT1G03610,AT4G03420,AT1G03610-AT4G034201-2+IR,1621,46,899,34,both,0.00944225505205249
AT1G06080-AT2G31360,3-4,3-4,+IR,3,31,9,119,10,171,95,1057,40,852,82,1756,IR,AT1G06080,AT2G31360,AT1G06080-AT2G313603-4+IR,321,22,3665,217,both,0.00932709430369794
AT3G01300-AT5G15080,5-6,5-6,+IR,9,110,1,118,5,184,3,116,2,123,7,204,IR,AT3G01300,AT5G15080,AT3G01300-AT5G150805-6+IR,412,15,443,12,both,0.00931973087290977
AT3G12140-AT5G06780,1-2,1-2,+IR,20,112,19,153,16,194,19,93,5,102,23,169,IR,AT3G12140,AT5G06780,AT3G12140-AT5G067801-2+IR,459,55,364,47,both,0.00929517105987696
AT1G21080-AT1G76700,2-3,2-3,+IR,7,322,5,393,4,618,5,103,1,138,2,136,IR,AT1G21080,AT1G76700,AT1G21080-AT1G767002-3+IR,1333,16,377,8,both,0.00921715840100609
